"JS_score","ITL_score","USSL"
4.32659932659933,1,"quattro"
2.07070707070707,3.8,"quattro"
4.15824915824916,1,"quattro"
4.06397306397306,1.4,"tre"
4.17171717171717,2,"tre"
3.996632996633,3.2,"quattro"
3.32659932659933,3,"tre"
2.05723905723906,2.4,"quattro"
2.13804713804714,2.8,"tre"
3.5959595959596,1,"quattro"
3.95622895622896,1,"quattro"
5,1.8,"quattro"
3.32659932659933,3,"tre"
2.22895622895623,3.2,"quattro"
3.26262626262626,1.4,"tre"
4.5993265993266,1,"tre"
3.72727272727273,2.6,"tre"
1.92255892255892,3.2,"tre"
3.996632996633,1.6,"tre"
3.3030303030303,2.6,"tre"
3.32659932659933,2.8,"tre"
2.99326599326599,3,"quattro"
4.47811447811448,1,"tre"
2.97643097643098,2.4,"quattro"
2.16498316498316,2.2,"tre"
3.65993265993266,1.4,"tre"
2.32659932659933,3.8,"quattro"
3.74074074074074,1,"quattro"
1.33333333333333,3.6,"tre"
2.19191919191919,3.6,"quattro"
4.57239057239057,1,"quattro"
2.97979797979798,1.6,"quattro"
1.6026936026936,2.8,"tre"
4.86531986531987,1,"tre"
3.996632996633,1,"tre"
3.78114478114478,3,"quattro"
3.72727272727273,3,"quattro"
2.85858585858586,3,"quattro"
2.56565656565657,1.8,"quattro"
3.65993265993266,1.6,"tre"
3.996632996633,2.8,"quattro"
4.46464646464646,1.2,"tre"
4.32996632996633,1.4,"tre"
5,1,"tre"
3.92929292929293,1.4,"tre"
1.72053872053872,3,"quattro"
4.5050505050505,1,"tre"
4.01010101010101,1,"quattro"
1.72053872053872,3,"quattro"
3.92929292929293,1,"quattro"
3.52861952861953,1.2,"tre"
3.35690235690236,1,"quattro"
3.81818181818182,1,"tre"
5,1,"quattro"
5,1,"tre"
4.86531986531987,1,"quattro"
1.01346801346801,3,"quattro"
4.06397306397306,2.4,"quattro"
4.06397306397306,1,"tre"
2.25925925925926,3.4,"tre"
3.86195286195286,2.8,"quattro"
4.86531986531987,1.4,"tre"
1.18855218855219,3.6,"quattro"
3.32659932659933,1.8,"quattro"
3.12457912457912,4.4,"tre"
3.92929292929293,1.8,"tre"
4.3973063973064,1,"tre"
4.53198653198653,1,"quattro"
4.66329966329966,1,"quattro"
4.13131313131313,1.4,"quattro"
5,1,"quattro"
2.99326599326599,1.6,"quattro"
1.02693602693603,1.8,"quattro"
4.94612794612795,1,"quattro"
4.06397306397306,2.2,"tre"
3.5959595959596,1.6,"tre"
3.92929292929293,1.6,"tre"
3.73063973063973,3,"quattro"
4.7979797979798,1,"quattro"
4.81144781144781,1,"tre"
3.46127946127946,2.4,"tre"
3.94276094276094,1.2,"tre"
2.67003367003367,2.4,"quattro"
4.32659932659933,1.6,"quattro"
2.84511784511785,3,"quattro"
2.99326599326599,3,"tre"
4.86531986531987,1,"tre"
5,1,"quattro"
3.65993265993266,1,"quattro"
1.75084175084175,3.8,"tre"
1.58922558922559,3.4,"tre"
4.14478114478114,1.2,"tre"
3.996632996633,3,"tre"
1.58922558922559,2,"tre"
3.41077441077441,1.6,"tre"
3.26262626262626,2.4,"tre"
3.48484848484848,2.8,"tre"
3.26262626262626,2.2,"quattro"
3.7979797979798,1,"tre"
1.05387205387205,3.6,"tre"
4.06397306397306,1.2,"tre"
1.94949494949495,4.4,"quattro"
3.79461279461279,2.4,"quattro"
4.3973063973064,1.4,"quattro"
4.07744107744108,1,"quattro"
4.86531986531987,1.8,"tre"
3.66329966329966,1.2,"tre"
4.13131313131313,1,"quattro"
3.86531986531987,2.2,"quattro"
2.48148148148148,2.8,"tre"
4.41077441077441,1,"quattro"
3.65993265993266,1.4,"quattro"
4.73063973063973,1.8,"quattro"
4.73063973063973,1,"tre"
3.92929292929293,1.4,"tre"
4.49158249158249,1,"tre"
4.26262626262626,1,"tre"
3.3973063973064,3.6,"tre"
3.5959595959596,1.4,"tre"
3.73063973063973,2,"tre"
4.1986531986532,1,"quattro"
4.1986531986532,1,"tre"
